library,antibody,selection,percent_infectivity,date,R1
lib1,EDE1-C10,C10-300,0.11%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib1_C10_300_R1.fastq.gz
lib1,EDE1-C8,C8-1800,0.01%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib1_C8_1800_R1.fastq.gz
lib1,MZ4,MZ4-4800,0.46%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib1_MZ4_4800_R1.fastq.gz
lib1,SIgN-3C,SIgN-20000,0.21%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib1_SIgN_20000_R1.fastq.gz
lib1,ZV-67,ZV67-40000,0.84%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib1_ZV67_40000_R1.fastq.gz
lib1,no-antibody,no-antibody,100,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib1_no_antibody_R1.fastq.gz
lib2,EDE1-C10,C10-300,0.23%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib2_C10_300_R1.fastq.gz
lib2,EDE1-C8,C8-1800,0.13%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib2_C8_1800_R1.fastq.gz
lib2,MZ4,MZ4-4800,0.02%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib2_MZ4_4800_R1.fastq.gz
lib2,SIgN-3C,SIgN-10000,0.35%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib2_SIgN_10000_R1.fastq.gz
lib2,SIgN-3C,SIgN-20000,1.36%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib2_SIgN_20000_R1.fastq.gz
lib2,ZV-67,ZV67-40000,0.89%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib2_ZV67_40000_R1.fastq.gz
lib2,no-antibody,no-antibody,80.59%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib2_no_antibody_R1.fastq.gz
lib3,EDE1-C10,C10-300,0.39%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib3_C10_300_R1.fastq.gz
lib3,EDE1-C8,C8-1800,0.23%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib3_C8_1800_R1.fastq.gz
lib3,MZ4,MZ4-4800,0.05%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib3_MZ4_4800_R1.fastq.gz
lib3,SIgN-3C,SIgN-10000,1.19%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib3_SIgN_10000_R1.fastq.gz
lib3,SIgN-3C,SIgN-20000,0.88%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib3_SIgN_20000_R1.fastq.gz
lib3,ZV-67,ZV67-40000,0.01%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib3_ZV67_40000_R1.fastq.gz
lib3,no-antibody,no-antibody,209.23%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib3_no_antibody_R1.fastq.gz
lib3-v2,SIgN-3C,SIgN-10000,0.45%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib3-v2_SIgN_10000_R1.fastq.gz
lib3-v2,SIgN-3C,SIgN-20000,0.55%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib3-v2_SIgN_20000_R1.fastq.gz
lib3-v2,no-antibody,no-antibody,209.23%,220622-230109,/fh/fast/bloom_j/computational_notebooks/ckikawa/2022/ZIKV_MAP_GooLab/data/concat_fastq/concat_fastq_out/lib3-v2_no_antibody_R1.fastq.gz
