SiGN3C,WT_1,WT_2,WT_3,S72G_1,S72G_2,S72G_3,E314S_1,E314S_2,E314S_3,S7P_1,S7P_2,S7P_3,T49D_1,T49D_2,T49D_3,K301H_1,K301H_2,K301H_3,71D_1,71D_2,71D_3
100,0,0,0.174978128,0.724112962,0.470311581,0.779727096,0.076219512,0.069252078,0.152207002,0.238284353,0.129617628,0,0.200702459,0.085287846,0.159659393,0.163220892,0.104821803,0.09896091,0.046019328,0.12825994,0.090293454
20,0.642857143,0,0.196721311,1.189189189,1.286549708,1.184706516,0.241545894,0.241691843,0.138696255,0.138408304,0.205023065,0.069396253,0.292932992,0.22115739,0.226346763,0.459981601,0.475572849,0.685871056,0,0.083090985,0.116890707
4,0.991080278,0.816993464,0.764915859,2.982107356,2.512776831,3.304662743,0.755667506,0.901713255,0.83449235,0.714650332,0.47972089,0.501253133,0.512214342,0.538793103,0.474833808,1.24750499,0.663821716,1.229895932,0.443655723,0.182232346,0.384286934
0.8,3.039014374,2.889518414,3.33465661,4.078389831,3.827160494,4.318084652,1.954821894,1.505016722,2.235136343,1.766595289,2.707581227,1.953125,2.04778157,2.421840599,1.950805768,2.649006623,2.231926249,2.202989772,1.775431862,1.468736886,1.397379913
0.16,4.041146216,4.20541852,4.931972789,6.173399909,5.676328502,4.973357016,3.548247512,4.172274563,4.335664336,3.380876915,4.476040021,2.59801606,4.334121355,3.871681416,3.715937242,4.547607769,4.103896104,3.428011753,2.496467263,2.956081081,3.691414351
0.032,5.835447626,4.715789474,6.153846154,6.338742394,6.190095847,5.808409189,4.735013032,4.794520548,4.852320675,3.157063931,4.427083333,4.27259887,4.764065336,5.778352738,3.961267606,6.050531915,5.126849894,4.115446285,5.496828753,3.987455197,4.499072356
0.0064,6.282934739,8.211382114,7.594936709,6.401652039,5.87962963,6.324110672,5.577464789,5.718547986,6.028037383,5.190102595,4.203323558,4.441677044,5.772727273,5.411858337,7.223796034,5.056634304,6.155778894,3.994614004,5.790533736,5.705832629,5.110961668
0.00128,7.594361073,6.56759348,6.544968833,6.711409396,5.791666667,6.102253986,5.800575264,5.601558695,5.316973415,4.318766067,3.679369251,3.875968992,6.05,6.558738066,6.771300448,5.39620807,5.53832521,4.51848471,6.576576577,5.126151382,7.491541808
0.000256,6.461275139,6.171428571,6.609325487,6.740535549,6.051990252,6.098141972,5.209994684,6.713615023,6.196581197,3.950193216,4.785209353,3.818876159,5.130735076,5.309734513,5.657327586,5.596620908,7.165605096,4.349904398,6.997929607,5.239259518,6.844106464
no_ab,6.267136702,7.139388052,6.400742115,5.793991416,6.816257409,5.833333333,5.873015873,6.212251941,6.070435589,4.014452027,4.861730598,4.945316215,6.441850411,7.182067704,5.630728939,5.303717135,6.039325843,6.45675568,6.158833063,5.545023697,7.011393514
